controller,time_s,x_m,y_m,speed_mps,yaw_rad,accel_command_mps2,steer_command_rad,speed_command_mps,cross_track_error_m,heading_error_rad,controller_update_ms,controller_iterations,controller_status,progress_m,lap_count,collision
Pure Pursuit,11.90999999999979,-47.5114837434208,7.526729896835221,5.456950222545009,3.647573248656341,2.730288774549914,0.0076095268084212,5.7299791,0.07819118550184607,0.044655658079632676,0.14609999999981582,0,not_applicable,75.1800885,0,0
Pure Pursuit,12.009999999999788,-47.99254830126281,7.257299949460208,5.562241492243237,3.6701720485464544,5.334500077567634,0.018043843069753266,6.0956915,0.029284874504683533,0.015622224059724132,0.07670000000015165,0,not_applicable,75.7799296,0,0
Pure Pursuit,12.109999999999786,-48.48287588446202,6.971926123016686,5.767961960937974,3.6884614404835707,5.865807390620255,0.04071692678318039,6.3545427,0.01779214043643294,0.02243489666291998,0.0703000000004117,0,not_applicable,76.3797707,0,0
Pure Pursuit,12.209999999999784,-48.985804955441665,6.665370927343526,5.994171845299187,3.720143107744288,3.8695145470081282,0.07731318789531091,6.3811233,0.03228680415154148,0.04744805850319356,0.08669999999977307,0,not_applicable,76.9796119,0,0
Pure Pursuit,12.309999999999782,-49.49168235353329,6.3291825285481,6.143396390178111,3.7978184163280777,1.4634960982188883,0.1043777497972256,6.289746,0.06791372542594196,0.052693913485777344,0.07869999999998711,0,not_applicable,77.579453,0,0
Pure Pursuit,12.40999999999978,-49.980075350284096,5.951860335428623,6.199834875299625,3.9222761529080796,-0.0015777529962512915,0.11221194154284997,6.1996771,0.12308316909054305,0.022726798371874413,0.07020000000013127,0,not_applicable,78.1792941,0,0
Pure Pursuit,12.509999999999778,-50.425959812856625,5.521694093472495,6.199696234483243,4.083454135472419,-0.8879813448324292,0.09428238143885882,6.1108981,0.17228077891862764,0.0449286484696767,0.062400000000018,0,not_applicable,78.7791353,0,0
Pure Pursuit,12.609999999999776,-50.805807689338934,5.0389328770275235,6.121667253475695,4.244333676708143,-0.9827685347569481,0.06073168890745854,6.0233904,0.19367762521401202,0.11893306823142957,0.07219999999996674,0,not_applicable,79.3789764,0,0
Pure Pursuit,12.709999999999773,-51.11145438376203,4.515622837681151,6.035309102170347,4.3557849820037084,-0.8509990217034691,0.035665723098148236,5.9502092,0.18244127228135212,0.1498510003122071,0.06670000000008613,0,not_applicable,79.9788175,0,0
Pure Pursuit,12.809999999999771,-51.35120119222821,3.967449946730252,5.960529843700145,4.432421087900367,-0.38424343700144803,0.01625089848695696,5.9221055,0.15001490342700682,0.1515131716384781,0.06150000000015865,0,not_applicable,80.5786587,0,0
Pure Pursuit,12.90999999999977,-51.53880823345253,3.4041905554222494,5.926765481393954,4.483804839675126,0.0010711860604661894,0.0033638727933931875,5.9268726,0.11207301315774987,0.13274164381604692,0.05720000000009051,0,not_applicable,81.1784998,0,0
Pure Pursuit,13.009999999999767,-51.69244491051126,2.8318253756201006,5.926806790775379,4.503640235381937,0.2761270922462078,0.007220524705814113,5.9544195,0.08789496883805777,0.08666894268797609,0.055599999999600414,0,not_applicable,81.7783409,0,0
Pure Pursuit,13.109999999999765,-51.825065513945056,2.2536053774854823,5.937455397769514,4.5219974051553855,0.6064820223048617,0.016546966929121408,5.9981036,0.0831382000866608,0.0429883602845873,0.08540000000012427,0,not_applicable,82.3781821,0,0
Pure Pursuit,13.209999999999763,-51.942883652187525,1.670392213957697,5.960843862305891,4.542063173688501,0.9299863769410877,0.03128809849823018,6.0538425,0.08700458304557154,0.004683031357726186,0.0602999999999021,0,not_applicable,82.9780232,0,0
Pure Pursuit,13.30999999999976,-52.048063955069885,1.0817053422689966,5.996707997756663,4.562827320192857,1.22401302243337,0.05193015429338683,6.1191093,0.09394255024971784,0.02937782481121687,0.06399999999961992,0,not_applicable,83.5778643,0,0
Pure Pursuit,13.409999999999759,-52.13930258467064,0.48646338516898197,6.043911021283146,4.599967409991358,1.4818947871685317,0.06922396683526653,6.1921005,0.10895553871495434,0.04362348245465952,0.05089999999974282,0,not_applicable,84.1777054,0,0
Pure Pursuit,13.509999999999756,-52.20444925811882,-0.11741591809003593,6.1010590362310815,4.684670471291357,1.7045986376891875,0.06247669990028182,6.2715189,0.12970196599025904,0.006959193958461896,0.053499999999928605,0,not_applicable,84.7775466,0,0
Pure Pursuit,13.609999999999754,-52.22762003247756,-0.7304979263827149,6.166795436190369,4.7731902741897105,1.8970126380963137,0.04751395100697116,6.3564967,0.14085771690984666,0.03679141771285366,0.05339999999964817,0,not_applicable,85.3773877,0,0
Pure Pursuit,13.709999999999752,-52.20635236417453,-1.3506389688576068,6.239952118795004,4.835243108419051,2.0652528120499625,0.03832400775899107,6.4464774,0.1361264449002456,0.05728460113596778,0.05370000000004538,0,not_applicable,85.9772288,0,0
Pure Pursuit,13.80999999999975,-52.143353331794565,-1.9756635341584936,6.319596840941444,4.894611763363327,2.2156855905855544,0.022889944211407002,6.5411654,0.11594095080068109,0.07825603363254086,0.05139999999981271,0,not_applicable,86.57707,0,0
Pure Pursuit,13.909999999999748,-52.0424438949777,-2.6041201911808938,6.405042875536549,4.938424803349079,2.3541982446345067,0.00806672346780316,6.6404627,0.08498877972003836,0.08680233554880701,0.0548000000000215,0,not_applicable,87.1769111,0,0
Pure Pursuit,14.009999999999746,-51.9136010957074,-3.236504753073424,6.495830533094774,4.954957383456154,2.48575066905226,0.0017854011941611971,6.7444056,0.06703804145381717,0.07117509645827624,0.05769999999971631,0,not_applicable,87.7767522,0,0
Pure Pursuit,14.109999999999744,-51.765016868210466,-3.874167234520764,6.591691398266765,4.971402707284113,2.614338017332347,-0.0021936710560846538,6.8531252,0.09476270186138028,0.05854974978120531,0.05390000000016215,0,not_applicable,88.3765934,0,0
Pure Pursuit,14.209999999999742,-51.602904692741205,-4.518704505879305,6.692511125407404,4.969697306824776,3.1339337459259564,0.003835843725949856,7.0059045,0.04771006464965972,0.02287090690745952,0.051299999999976365,0,not_applicable,89.1763815,0,0
Pure Pursuit,14.30999999999974,-51.43534571044697,-5.173379195017741,6.813368620898173,4.964925122158251,3.1339957910182648,0.015091106273385868,7.1267682,0.03064487074660237,0.003795852372811659,0.0501000000001639,0,not_applicable,89.7762227,0,0
Pure Pursuit,14.409999999999737,-51.26041286953717,-5.838624102992039,6.934228509105278,4.986173554308761,3.628524908947224,0.017170785842837204,7.297081,0.0842732315017548,0.006943862933172618,0.06489999999992335,0,not_applicable,90.5760109,0,0
Pure Pursuit,14.509999999999735,-51.07283103027556,-6.514030621945658,7.074159493093474,5.008564435707063,3.576903069065258,0.01911000443140396,7.4318498,0.032980846543929965,0.0004986682271184151,0.06660000000024979,0,not_applicable,91.175852,0,0
